url,label
"https://deangenealogy.com/",benign
"https://lyskyz.com/images/?app=3D3D3Dcom-d3&amp;us.battle.net/login/en/?=",phishing
"https://en.wikipedia.org/wiki/Jacques_Parizeau",benign
"https://sunshineyogafitness.com/SothebyRealty/login.html",phishing
"https://emotos.ru/admin/model/87yhb54cdfy.exe",phishing
"https://wn.com/Canada_national_basketball_team",benign
"https://speakproacademy.com/ssh/validate/revalidate.html?&amp;;.rand=13vqcr8bp0gud&amp;;lc=1033&amp;;id=64855&amp;;mkt=en-us&amp;;cbcxt=mai&amp;;snsc=1",phishing
"https://denositennis.gr/modules/mod_banners/smiles/update.htm",phishing
"https://imdb.com/name/nm0001417/",benign
"https://back9grillsantafe.com/",benign
"https://paypal.com.fr.cgi.bin.webscr.cmd.flow.session.odmngqfrsu.6pjf9g2ofm77xtknn3vhw.0l3hbz.zsnkph.xnst2fpwzayu.dispatch.5885d8.hellorobot.net/login.php",phishing
"https://eu.battle.net.qqwow.asia/login/en/login.html",phishing
"https://mulherdefe.com/do_ifnfo_pay/70748d211205cd083b9c/informations/service_pay/",phishing
"https://report.perrydale.com/ema/show.swf",phishing
"https://eskimofootball.com/",benign
"https://cps.ca.gov/",benign
"https://videosurf.com/videos/Tito+Lusiardo",benign
"https://magicwands.brightantenna.com/",benign
"https://www.beck-kituzo.hu/dkfdpqj",phishing
"https://partyeazy.com/JHgy64HJBRd?fDSVKtOEJD=hXekpRIFAN",phishing
"https://fouempire.com/libraries/eBaiISAPI.dll.htm?signin.ebay.co.uk/ws/eBayISAPI.dll?SignIn&ru=www.ebay.co.uk/",phishing
"https://xhtmljunction.com/resource/payment/Amazon/Billing_Center/login.php?action=billing_login=true&amp;_session;053b02b440b50fbe44fa0f7e7d0b0ff3053b02b440b50fbe44fa0f7e7d0b0ff3",phishing
"https://doc.cat-v.org/plan_9/2nd_edition/README",benign
"https://articlesbase.com/ask-an-expert-articles/eddy-merckx-3162548.html",benign
"https://maumeevp.org/da/cd/cd",phishing
"https://railsnw.com/Tours/canada/canada_train_montreal_toronto.htm",benign
"https://itowncom.net//revmentor.com/wp-admin/ssl/",phishing
"https://duckduckgo.com/1/c/Paraguayan_footballers",benign
"https://sports.yahoo.com/olympics/beijing/CAN/Marie+Pierre+Gagne/211726",benign
"https://beauty-plus.co.uk/cli/https:/atendimento/chamada.php?=WXZLGE89MWDMY22ER702NOKS95UHGTTCQTY787FU3TG1VIEMPONCC96LC13TTV7JP5QWB7QD18EVQSHFG6STEXEQXHKQDQA3V2Y78OK8VY3MRK29PT34RHUPYEFB6QD1RC8Y2R7XQ9JHSKPIERM69GU8VAI21W3S00QA2X8R6R0YBZGPR3V1JP8F1QG2NITWSK8THFLM7UKIU29L44LNTS3TJIU72O4T9AMPQ9BW3WFWXNI2Q4PKWREFA0MBXP561RURZ7O234Y1QH3HKS3HJGWUPJ6N0ASA2N21TP3WS2XJI113S4KCJG701BW0LPJNCLN7AP34R1M01NCSQW5ADAJDMGN968VHSJO40Q71RT0RHLJ8IOIVZ20LHXUN5P6W9T1HK7HB1R3HDMPVB8RA02VRYPF3FKZODZ7Y7O07FCOSZDOALFKVHGMF72HMMGA1GGYM59TKLIDKV2VHHGCYXZD52VQOC2OSINFNV08",phishing
"https://ovguide.com/movies_tv/ash_wednesday.htm",benign
"https://www.odbcsdk.com/products/openaccess/oledb_overview.asp",benign
"https://criterion.com/films/27621-chains",benign
"https://redwingslegends.blogspot.com/2008/02/gerard-gallant.html",benign
"https://perigee-eng.com/",benign
"https://citizendia.org/List_of_defunct_United_States_automobile_manufacturers",benign
"https://www.monsalvepromociones.com/paypal-com./us./webscrlcmdl./login.submit./dispatch./5885d80a13c0db1f8e263663d3faee8dcbcd55a50598f04d9273303713ba313/login.php",phishing
"https://nativedreams.multiply.com/journal",benign
"https://www.kompedandedektiflik.com/tmp/geek-boy.php",phishing
"https://director4u.com/wp-admin/maint/org",phishing
"https://performanceoutdooradvertising.com/folder/verify/document/095521c1685ce6d616adb72911d3782e",phishing
"https://freebase.com/view/en/walter_plunkett",benign
"https://9d345009-a-62cb3a1a-s-sites.googlegroups.com/site/stickamcomlogindo/login.html?amp\\%3Battredirects=2&amp;attachauth=ANoY7cqhjNLByTwQzWk4phDxGcNLOeSO35C9scBLZvax_QaJE3RIcqiIgVPSjvVlUVX3mmaZm-kbKeQsSeoePJHiIg4sQZFA13HImlwSHRd-B3WxiaK6fYEKS2ySGr6prAVpQvyElP2_ffT3naGYc6LJkQaYIDiSwimTPTNctuHE_-OPhQTMBZIYzGhoWN97RFf1Q8v7oDF9kaWGexsDlqmgTfKA2qgtag\\%3D\\%3D&amp;attredirects=0",phishing
"https://rootsweb.ancestry.com/~mojackso/elmwood.htm",benign
"https://cond.gribochechki.ru/1vmcl8l",phishing
"https://american-industry.com/goods/Silver/",benign
"https://www.hnqsfz.com/images/?us.battle.net/login/en/?ref=us.battle.net/d3/en/index&amp;amp;app=com-d3",phishing
"https://docs.google.com/forms/d/e/1FAIpQLSfE9kshYBFSDAfRclW8m9rAdajqoYhzhEYmEAgZexE3LQ-17A/formResponse",phishing
"https://youcojapan.com/goldcorp/HomeAct/",phishing
"https://sotertrob.ru/sliva/gate.php",phishing
"https://registers.maryland.gov/main/frederick.html",benign
"https://www.rebol.com/article/carl.html",benign
"https://liusanyu.com/wp-content/themes/twentyeleven/languages/natwestonlinebanking321/natwest.com/",phishing
"https://tdhcommunications.com/c/",phishing
"https://answers.com/topic/walt-disney-home-entertainment",benign
"https://rhodemlogic.com/873nf3g",phishing
"https://net2o.de/",benign
"https://maejosport.com/templates/beez/inves/realtor.htm",phishing
"https://en-pi.facebook.com/people/Heather-Lyon-Watkins/525142764",benign
"https://bit.ly/2b73PyD",phishing
"https://zoominfo.com/people/Van%20Hool_Leopold_265065585.aspx",benign
"https://balgar.ddns.net/",phishing
"https://30moedasgratishabbo.blogspot.com/",phishing
"https://reidoalhosp.com.br/wp-includes/js/gdocwithbl/4d9e4cd815f7cddd880d43201d60920e",phishing
"https://123people.ca/s/dominique+audet",benign
"https://toplessarchive.com/celebs/jayne-heitmeyer-topless.html",benign
"https://pastehtml.com/view/bdcco4798.html",phishing
"https://hehehena.info/yah/index.html",phishing
"https://discogs.com/label/Hiero+Imperium",benign
"https://absoluteastronomy.com/topics/Bob_Steele_(broadcaster)",benign
"https://britannica.com/EBchecked/topic/1247963/June-Pointer",benign
