url,label,n_images
http://detroitrehearsalspace.com/,benign,4
http://geminihospitality.in/new/wp-content/Post/NV6588123/,benign,15
http://mp3shake.com/,benign,4
http://mysticgames.com/famouspeopled.html,benign,4
http://safari.spahotel.guru/,benign,8
http://thelyricarchive.com/album/74488/Burt-Bacharach,benign,2
http://www.amazonon1.com/,phishing,5
http://www.vaxman.de/historic_computers/multics/multics.html,benign,3
http://www.yasni.com/jacques/forename+directory/10,benign,2
http://www.yh9512.com/,benign,8
https://97ee8.catex.at/cnbcard/web_sms_activate.php,phishing,3
https://abcnews.com/Blotter/michele-bachmann-exclusive-pray-gay-candidates-clinic/story?id=14048691,benign,4
https://afropoets.net/ai.html,benign,2
https://airbnbclone-jrg8daobo-yusef-mohamed.vercel.app/,benign,2
https://akshayckht.github.io/youtube_clone/,phishing,2
https://ameer-hammza.github.io/netflix-clone-practice/,phishing,3
https://authentication.ms/E.5S4iF38aSmfo?/VGhlIG5leHQgZ2VuZXJhdGlvbiBvZiBzZWN1cml0eSBhd2FyZW5lc3MgaXMgZGVzaWduZWQgZm9yIGVtcGxveWVlcyBhbmQgYnVpbHQgZm9yIGVudGVycHJpc2VzLiBPdXIgaW5kdXN0cnktbGVhZGluZyByZXN1bHRzIGFyZSBwb3dlcmVkIGJ5IGNvZ25pdGl2ZSBhdXRvbWF0aW9uLg,phishing,1
https://authentication.ms/E.zWO6sfnZIOjW-3o?/confirm/verify,phishing,1
https://automotix.net/,benign,4
https://barclays-banking.net/landing/form/81ff82f0-3bb1-4f13-9ce2-8447f3646657,phishing,2
https://bestfootballers.net/?p=455,benign,4
https://betwinner2.com/en,benign,1
https://boardsofelectronica.blogspot.com/,benign,4
https://canadianhorselink.com/,benign,4
https://cinepop.tumblr.com/post/12870158269/bbook-in-october-2001-michael-perry-and-jason,benign,2
https://com--dubai-booking.webflow.io/,benign,1
https://covenantoladeji8-beep.github.io/Netflix/,phishing,8
https://cs.wheatoncollege.edu/~mgousie/,benign,2
https://dramabeans.com/2009/04/thirst-the-vampire-chic-version/,benign,3
https://faccebook.com.vn/timbannaygapngay30052026awd?a,phishing,3
https://firefox.maltekraus.de/extensions?,benign,1
https://fit-thru-faith.blogspot.com/,benign,4
https://flickr.com/photos/billiejoesentourage/4195916078/,benign,1
https://flickr.com/photos/yushimoto_02/1419176976/,benign,1
https://geordie.ca/,benign,3
https://gnosis.cx/publish/tech_index_cp.html,benign,4
https://helpsuitetrezo-portal.wasmer.app/,phishing,1
https://heyrick.eu/voyager/quickvoy/,benign,1
https://history.loftinnc.com/Hamilton_Thomas_Jefferson_1805.htm,benign,4
https://hotflirtoffer4.com/de/de_fourthMultiStep_blue_120723/,phishing,8
https://ivn.us/assemblyman-bill-emmerson-contends-riversides-37th-district/,benign,1
https://jellyfish-app-jsmsz.ondigitalocean.app/,benign,4
https://johnmuircs.com/,benign,4
https://kimboekbinder.blogspot.com/2009/08/embarrassment-of-riches.html,benign,4
https://life-bet365.com.cn/,benign,8
https://loss.blogbeastit.info/?app_vl=ZYFwlHFpbWKEmLqxy5qmnnx0YsC2wa-TpaiVYsBxj2phmqOgnLFwrYw&e=solelx@fc6ed5fae4a56ff9909b3bbb3f96e465a2a5.com&sui=%7Bsui%7D&fn=Kateryna&ln=Morawik&p=&z=PLNAMERAW-2905-digi9,benign,4
https://m.csam.in/page/Garenaffteam/x-4page/,phishing,1
https://mccowngordon.com,benign,4
https://megashriragavan79-oss.github.io/netflix-clone/,phishing,1
https://mubi.com/en/tw/films/when-the-night,benign,1
https://netflix-clone-ruby-ten.vercel.app/,phishing,4
https://newdapp-swap.netlify.app/,benign,8
https://nndb.com/people/062/000118705/,benign,2
https://omrf.org/training-outreach/summer-scholars/#fleming-scholar,benign,4
https://outdoors911.com/reports/forumdisplay.php?168-Lake-Vermilion,benign,4
https://pdf-reader.net/,phishing,1
https://people.famouswhy.com/kamala_harris/,benign,4
https://people.famouswhy.com/larry_riley/,benign,4
https://people.famouswhy.com/phil_villapiano/directory.html,benign,4
https://perryallenohio.com/,benign,4
https://politicalgraveyard.com/bio/catron-cavanagh.html,benign,4
https://princesleonorvipwebsitesreal.blogspot.com/,phishing,8
https://rafizaman577.github.io/Amazon/checkout.html,benign,3
https://robiox.com.ps/communities/3598609020/DracePlays,phishing,1
https://s.teams-xu.com/p/fjbd-cbcr/dopofszl,phishing,8
https://seal-app-gvgyd.ondigitalocean.app/,benign,4
https://search.yahoo.com/,benign,3
https://shopee2899.blogspot.com/,phishing,8
https://shopeetbk511.blogspot.com/,phishing,8
https://sports.answers.com/history-ec/Who_played_opening_games_for_both_the_Montreal_Expos_and_Toronto_Blue_Jays,benign,2
https://stg-santander-santandedev.kinsta.cloud/?page_id=68,phishing,1
https://stop.blogbeastit.info/?app_vl=ZYFwlHFpbWKEmLqxy5qmnnx0YsC2wa-TpaiVYsBxj2phmqOgnLFwrYw&e=user@example.com&sui=%7Bsui%7D&fn=&ln=&p=&z=PL-PLNAMERAW-2705-ind7,benign,10
https://streema.com/radios/Radio_Swiss_Jazz,benign,4
https://support.microsoft.com/en-us?kbid=158358,benign,4
https://theblackparade2010.blogspot.com/,benign,4
https://thecustomizewindows.com/category/computer-and-internet/cloud-computing/,benign,1
https://tohuusin.info/?app_vl=Zn9wlHFpbWKEmLqxy5qmnnx0YsC2wa-TpaiVYsBxj2phmqOgnLFwrYw&e=norynlab@89c7ee1d02f23d413d4b6b0dd215632b69a0.org&sui=%7Bsui%7D&fn=&ln=&p=&z=chnamecl280526con1,benign,5
https://turnit-down.blogspot.com/2007/03/mark-sultan-aka-bbq-interview-sultanic.html,benign,4
https://tw.yahoo.com/?p=us,benign,4
https://we-only.statichost.page/,benign,3
https://webring.com,benign,2
https://www.350z-tech.com/threads/fi-vs-na-the-poll-to-end-all-polls.50426/,benign,4
https://www.365bet881.com/,benign,4
https://www.altfg.com/raoul-bova-laura-morante/,benign,4
https://www.answers.com/redirectSearch?query=avito-viret-honore,benign,1
https://www.answers.com/redirectSearch?query=ingham-county-michigan,benign,1
https://www.aol.com/,benign,4
https://www.avsforum.com/threads/2-subs-with-audyssey-xt32-and-sub-eq.1281534/,benign,3
https://www.barry.edu/en/academics/law/jd-law/?r=rdt&rdts=www.barry.edu,benign,4
https://www.borderclick.com/BC/media/Borderclick/Files/new-rubux-code.html,phishing,2
https://www.cbs.com/shows/,benign,1
https://www.clipperflyingboats.com/,benign,4
https://www.cs.utexas.edu/~misra/,benign,1
https://www.dominios.es/es?request_locale=en,benign,4
https://www.dorsey.edu/campus-locations/,benign,4
https://www.financialsense.com/contributors/gonzalo-lira,benign,1
https://www.fridaynightlightsmovie.com/,benign,4
https://www.goodreads.com/author/show/1965004.Francis_M_Nevins_Jr_,benign,4
https://www.hollandamerica.com/en?portCode=JMK&displayPortSelector=true,benign,2
https://www.hugedomains.com/domain_profile.cfm?d=democraticspace.com,benign,4
https://www.kcur.org/,benign,4
https://www.last.fm/music/The+Lovely+Feathers,benign,4
https://www.latimes.com/archives/la-xpm-1990-09-19-sp-611-story.html,benign,4
https://www.latimes.com/archives/la-xpm-1995-05-05-sp-62736-story.html,benign,4
https://www.linkedin.com/in/jschouinard,benign,1
https://www.nata.org/professional-interests/job-settings/collegeuniversity/resources/amcia,benign,1
https://www.nytimes.com/section/movies,benign,4
https://www.oldies.com/product-view/5661D.html,benign,4
https://www.onet.pl/?utm_source=republika&utm_medium=przekierowanie&utm_campaign=republika_info#zamkniecie-republika/american/,benign,3
https://www.open-bet365.com.cn/,benign,5
https://www.parl.ca/,benign,1
https://www.paulsen.co.uk/rod/,benign,4
https://www.pekinshuho.com/imwy/501.html,benign,7
https://www.robiox.com.ps/games/2753915549/Blox-Fruits?privateServerLinkCode=92982524248421995048934910514980,phishing,2
https://www.robiox.com.ps/users/2694960147/profile,phishing,16
https://www.robiox.com.ps/users/9367442443/profile,phishing,8
https://www.roblox.com.bi/games/11765402359/Clip-It?privateServerLinkCode=35976373059471016383959043181064&game_id=11765402359&game_name=Clip-It,phishing,2
https://www.roblox.com.bi/games/126815230666914/Forsaken-Combat?privateServerLinkCode=35976373059471016383959043181064&game_id=126815230666914&game_name=Forsaken-Combat,phishing,3
https://www.roblox.com.bi/games/127394985960784/sword-fighting-347226?privateServerLinkCode=82622416081411269317898947278062,phishing,2
https://www.roblox.com.bi/games/128915436393653/Dongdaemun-Game-Season-3?privateServerLinkCode=35976373059471016383959043181064&game_id=128915436393653&game_name=Dongdaemun-Game-Season-3,phishing,6
https://www.roblox.com.bi/games/129950397481789/Jump-For-Dandys-World?privateServerLinkCode=35976373059471016383959043181064&game_id=129950397481789&game_name=Jump-For-Dandys-World,phishing,2
https://www.roblox.com.bi/games/13600218266/My-Movie?privateServerLinkCode=35976373059471016383959043181064&game_id=13600218266&game_name=My-Movie,phishing,5
https://www.roblox.com.bi/games/138917038223106/Update-Soon-Jump-Rope-BETA?privateServerLinkCode=35976373059471016383959043181064&game_id=138917038223106&game_name=Update-Soon-Jump-Rope-BETA,phishing,2
https://www.roblox.com.bi/games/16483433878/Block-Tales-DEMO-5?privateServerLinkCode=35976373059471016383959043181064&game_id=16483433878&game_name=Block-Tales-DEMO-5,phishing,6
https://www.roblox.com.bi/games/17667407718/Quiz-Me?privateServerLinkCode=35976373059471016383959043181064&game_id=17667407718&game_name=Quiz-Me,phishing,2
https://www.roblox.com.bi/games/2768379856/3008-2-74?privateServerLinkCode=35976373059471016383959043181064&game_id=2768379856&game_name=3008-2-74,phishing,5
https://www.roblox.com.bi/games/5289509545/Gacha-Online-RP?privateServerLinkCode=35976373059471016383959043181064&game_id=5289509545&game_name=Gacha-Online-RP,phishing,7
https://www.roblox.com.bi/games/7594000066/Squid-Game-Glass-Stepping-Stone-UPDATE?privateServerLinkCode=35976373059471016383959043181064&game_id=7594000066&game_name=Squid-Game-Glass-Stepping-Stone-UPDATE,phishing,2
https://www.roblox.com.bi/games/7600132577/Sea-Game-Tycoon?privateServerLinkCode=35976373059471016383959043181064&game_id=7600132577&game_name=Sea-Game-Tycoon,phishing,3
https://www.roblox.com.bi/games/82581651416800/Adventure-Builder-2?privateServerLinkCode=35976373059471016383959043181064&game_id=82581651416800&game_name=Adventure-Builder-2,phishing,2
https://www.roblox.com.bi/games/87387138319840/Chelly-Make-It-Viral?privateServerLinkCode=35976373059471016383959043181064&game_id=87387138319840&game_name=Chelly-Make-It-Viral,phishing,7
https://www.roblox.com.bn/games/142823291/Murder-Mystery-2?privateServerLinkCode=32521013251177191579040166837938,phishing,3
https://www.roblox.com/Login,benign,1
https://www.roblox.com/games/92416421522960/Slime-RNG,benign,2
https://www.roblox.et/users/8847852424/profile,phishing,8
https://www.sbnation.com/soccer/2011/11/6/2542745/sporting-vs-dynamo-live-2011-mls-cup-playoffs-updates-commentary-calen-carr-yellow,benign,4
https://www.spokeo.com/Kevin-Shaughnessy,benign,3
https://www.spokeo.com/Loretta-Sanchez,benign,3
https://www.therainesgroup.com/meet-the-team,benign,3
https://www.vg247.com/ubisoft-montreal-hiring-project-manager-for-major-project,benign,2
https://www.vistaprint.com/digital-marketing/webs-shutdown,benign,4
https://www.zomato.com/,benign,4
https://yardlimits.com/railway-news/kansas-city-southern-news_start-2,benign,4
